Date,Region,Type,Value
2021-06-04,Sylhet,Death Rate,1.8
2021-06-05,Sylhet,Death Rate,3.0
2021-06-06,Sylhet,Death Rate,2.3
2021-06-07,Sylhet,Death Rate,1.5
2021-06-08,Sylhet,Death Rate,1.9
2021-06-09,Sylhet,Death Rate,1.4
2021-06-10,Sylhet,Death Rate,1.6
2021-06-11,Sylhet,Death Rate,1.8
2021-06-12,Sylhet,Death Rate,2.4
2021-06-13,Sylhet,Death Rate,1.9
2021-06-14,Sylhet,Death Rate,1.8
2021-06-15,Sylhet,Death Rate,1.5
2021-06-16,Sylhet,Death Rate,1.5
2021-06-17,Sylhet,Death Rate,1.6
2021-06-18,Sylhet,Death Rate,1.4
2021-06-19,Sylhet,Death Rate,2.2
2021-06-20,Sylhet,Death Rate,2.3
2021-06-21,Sylhet,Death Rate,1.7
2021-06-22,Sylhet,Death Rate,1.6
2021-06-23,Sylhet,Death Rate,1.5
2021-06-24,Sylhet,Death Rate,1.3
2021-06-25,Sylhet,Death Rate,1.8
2021-06-26,Sylhet,Death Rate,1.8
2021-06-27,Sylhet,Death Rate,2.3
2021-06-28,Sylhet,Death Rate,1.2
2021-06-29,Sylhet,Death Rate,1.5
2021-06-30,Sylhet,Death Rate,1.3
2021-07-01,Sylhet,Death Rate,1.7
2021-07-02,Sylhet,Death Rate,1.6
2020-03-06,Allover Bangladesh,Confirmed Cases,0.0
2020-03-08,Allover Bangladesh,Confirmed Cases,0.0
2020-03-09,Allover Bangladesh,Confirmed Cases,0.0
2020-03-18,Allover Bangladesh,Confirmed Cases,0.0
2020-03-19,Allover Bangladesh,Confirmed Cases,0.0
2020-03-20,Allover Bangladesh,Confirmed Cases,0.0
2020-03-21,Allover Bangladesh,Confirmed Cases,0.0
2020-03-22,Allover Bangladesh,Confirmed Cases,0.0
2020-03-23,Allover Bangladesh,Confirmed Cases,0.0
2020-03-24,Allover Bangladesh,Confirmed Cases,0.0
2020-03-25,Allover Bangladesh,Confirmed Cases,0.0
2020-03-26,Allover Bangladesh,Confirmed Cases,0.0
2020-03-27,Allover Bangladesh,Confirmed Cases,0.0
2020-03-31,Allover Bangladesh,Confirmed Cases,0.0
2020-04-01,Allover Bangladesh,Confirmed Cases,0.0
2020-04-03,Allover Bangladesh,Confirmed Cases,5.0
2020-04-04,Allover Bangladesh,Confirmed Cases,9.0
2020-04-05,Allover Bangladesh,Confirmed Cases,18.0
2020-04-06,Allover Bangladesh,Confirmed Cases,35.0
2020-04-07,Allover Bangladesh,Confirmed Cases,41.0
2020-04-08,Allover Bangladesh,Confirmed Cases,54.0
2020-04-09,Allover Bangladesh,Confirmed Cases,112.0
2020-04-10,Allover Bangladesh,Confirmed Cases,94.0
2020-04-11,Allover Bangladesh,Confirmed Cases,58.0
2020-04-12,Allover Bangladesh,Confirmed Cases,139.0
2020-04-13,Allover Bangladesh,Confirmed Cases,182.0
2020-04-14,Allover Bangladesh,Confirmed Cases,209.0
2020-04-15,Allover Bangladesh,Confirmed Cases,219.0
2020-04-16,Allover Bangladesh,Confirmed Cases,341.0
2020-04-17,Allover Bangladesh,Confirmed Cases,266.0
2020-04-18,Allover Bangladesh,Confirmed Cases,306.0
2020-04-19,Allover Bangladesh,Confirmed Cases,312.0
2020-04-20,Allover Bangladesh,Confirmed Cases,492.0
2020-04-21,Allover Bangladesh,Confirmed Cases,434.0
2020-04-22,Allover Bangladesh,Confirmed Cases,390.0
